ID,Manchu,English
385,_ang ban kiyoo de isinafi tuwaci. h_lha ing be waliyafi burulahabi,When [we] reached Shangban Bridge [we] saw that the rebels had abandoned the camp and fled.
386,juwan jak_n de kalka ara. niowanggiyan tu isinjiha manggi. hoton be afambi seme selgiyehe.,On the eighteenth an order was issued that said: “Prepare your shields. After the Green Standard troops have arrived attack the city.”
387,juwan uy_n de amba jiyangiy_n ilan meyen-i amba cooha. beise-i cooha be gaifi. elhe ibeme orin ba yabufi. gui huwa sy alin de wesifi. cooha be faidabufi.,"On the nineteenth the Field Marshal, at the head of both the main army divided into three squadrons and the troops of the Beise, slowly advanced for 20 li, climbed the Guihuasi Mountain, and then lined up the army in formation."
388,tuwaci hoton akdun afaci ojorak_. ,"Looking at it, the city appeared strong and impregnable,"
389,cooha be gocifi bedereme. hoton ci nadan bai dubede.,withdrew the troops and retreated to a distance of 7 li from the city. 
390,alirame ing ilifi. dobori dulime keremu ulan weile seme selgiyefi.,"set up our encampment along the mountain side, and received orders to make ramparts and moats during the night."
391,bi jalan-i cooha begaifi. dobori keremu sahame. ulan fetehe,"I, at the head of the regiment’s soldiers, worked overnight erecting ramparts and digging moats."
392,guwangsi goloi nan ning fu.y_n nan-i hoton-i siden juwe minggan tofohon ba funcembi.,"Between the provincial city of Nanning, in Guangxi province, and the capital of Yunnan, there is a distance of 2015 li."
393,orin emude h_lha dobori y_n nan-i hoton ci tucifi afanjiha.,On the twenty-first the rebels made a sortie out of Yunnan city and attacked.
394,amba jiyangiy_n uheri amba cooha be gaifi. okdome ingci tucifi faidabufi ibeme.,The Field Marshal gathered the whole army outside the encampment in battle formation.
395,afara babe tuwafi. _ak_iha meyen be ing be fiyanjilabuha.,"After having examined the battleground, he ordered the wing squadron to protect the rear of the camp."
396,tere uju meyen-i cooha be _ak_alame dosi seme joriha. niowanggiyan tu-i cooha be juleri.jai meyen cooha amala cin-i dere be dosi seme joriha. ,"He pointed his finger and ordered the troops of the first squadron to advance as to outflank. Pointing the finger again, he ordered the troops of the Green Standard to line up in front with those of the second squadron behind them, and to advance against the front."
397,uju meyen elemangga h_lhai uncehen be meiteme. hoton-i baru untuhun be baime dosika.,"The first squadron, moreover, advanced to cut off the tail of the bandits, and to seek an opening towards the city."
398,musei niowanggiyan tu. h_lhai baru afame. poo miyoocan-i jilgan tur seme lakcarak_.,"When our Green Standard troops charged the enemy, the roaring sound of cannons and muskets was incessant"
399,_an ureme ambula goidaha ,lasted for such a long time that the ears became used to it
400,h_lha emu dulin a__afi. jai emu udu kuren a__arak_ teng seme bucetei afambi.,"Half of the rebels vacillated and fled, but the other half, comprising several squadrons, did not budge, and were resolved to fight to the death."
401,meni jai meyen-i cooha yooni a__aha bata be gidame dosika.,The troops of our second squadron attacked those enemies that had already been completely routed.
402,hebei amban hife. kubuhe fulgiyan. musei g_sa be h_lafi. tere a__ara unde udu kuren-i kiyoo ga_an be ejelehe bata be gida seme joriha,"Councilor Hife called aloud for the Bordered Red Banner and our own Banner, and ordered: “Crush those rebel detachments that have not been routed and are still in control of the bridge and village.”"
403,meni juwe g_sa kaicame afame dosifi. poo. cu niru. paiciyang de hamirak_.,"Our two Banners yelling went to the assault, but the fire of cannons, fiery arrows, and the volleys of musket was overwhelming."
404,efujehe fu-i dalda de. juwe g_sa emu bade fumerefi bisirede. ,"in hidden spots among the ruined walls, our two Banners became all mingled into one group. "
405,bi emhun birai dalin de ilifi. tuwaci musei cooha niyalma emdubei feye bahambi.,"I reached the bank of the river by myself, and saw that our soldiers were being continuously wounded."
406,hife niyalma tak_rafi. yafahan dosi seme ,Hife sent a man with the order to advance on foot
407,jing sirdan jafara burgin de. h_lhai amargi baksan sumbur_ambi.,"as soon as we got within shooting range, the rearguard of the rebels was in disarray."
408,bi uthai tu be gaifi. bira be doofi. h_lhai amargi be sundalame dosirede. h_lha burulaha.,"I immediately grabbed the flag, and crossed the river, pressing forward in pursuit of the rebels’ rearguard. The rebels fled."
409,bi amcanafi. geren h_lha de daha serede. gemu niyak_rafi. agura waliyafi. ergen be guwebu sembi.,"As soon as I caught up with them, I told them that they must all surrender. They all knelt down, lay down their weapons and begged me to spare their lives. "
410,bayara emu h_lha be gabtara de. gemu ilifi sujuhe.,"when a bayara guard shot a rebel with an arrow, they all stood up and fled. "
411,juwe h_lha. waliyaha jangk_ be gaifi. buceki seme sacime dosinjiha.,"Two rebels got hold of long swords that had been abandoned, and, indifferent to death, came forward slashing."
412,bi ekmeme morin be dabkiyame _usi_ame. den ekcin de tafaha.,"Rushing off, I whipped the horse and climbed on top of the high riverbank."
413,amasi tuwaci uksin dengse ekcin be tafame muterak_.,"Looking behind me, I saw that armored soldier Dengse could not climb onto the bank."
414,h_lha amcame jifi sacirede. dengse golofi beye haidarara jakade. sirdan jebele. morin-i karhama sacibuha.,"One rebel caught up with him and hacked at him. Because Dengse was scared, he ducked, turning his body on one side, so the rebel hit the quiver and the horse’s croup."
415,dengse tuheke. bi tere h_lha be gabtame tuhebuhe.,"As Dengse fell off the horse, I shot the rebel, and made him fall down. "
416,geli emu h_lha be we waha be sark_.,"Who killed the other rebel, I do not know."
417,tuwaci dengse h_wangiyahak_bi. eb_eme mini tu be gaifi. bo_ome wame hoton dade isinafi.,"I looked to make sure that Dengse had not been harmed, then quickly got hold of my flag, and pushing and killing reached the base of the city wall. "
418,tuwaci. h_lha hoton dade jursu fik seme faidafi belhehebi.,"One could see that the rebels at the base of the wall were ready, thickly lined up in a two-echelon formation"
419,hoton-i ningguci poo sindambi.,They were also firing cannons from the top of the wall. 
420,cooha bargiyara buren-i jilgan be donjime. musei cooha uthai yooni amasi bederehe.,"As our soldiers heard the bugle signal for the withdrawal of the troops, they immediately turned back all together. "
421,jafaha h_lha de fonjici. fudaraka h_lhai holo wang. u _i fan juwe tumen isire h_lha. sunja sufan. holo jiyanggiyun hu guwe bing. lio ki lung. huwang ming sede afabufi afanjiha seme alambi.,"Then we interrogated captured rebels who reported: “The false prince of the resisting rebels Wu Shifan sent an order to the false generals Hu Guobing, Liu Qilong, and Huang Ming, and they have come to fight with twenty thousand infantry rebel troops and five elephants.”"
422,orin juwe de gui h_wa sy de ibefi ,"On the twenty-second we advanced to Guihuasi,"
423,"hontoho cooha be fiyanjilabufi. hontoho cooha be gaifi hoton be kara ulan keremu weilerede, bi genehe.","half of the army was positioned in the rear, and the other half was to construct ramparts and moats around the city. I went. "
424,ulan keremu _anggafi ing gurifi. afara wan ara seme selgiyehe.,"Once ramparts and moats had been prepared, we moved the encampment, and we were ordered to make assault ladders."
425,orin ninggude wan arafi. dobori dulime ing-ni keremu sahaha.,"On the twenty-sixth, after the ladders had been made, we dug a moat during the night around the encampment."
426,orin nadan de amba jiyangiy_n musei coohai gajiha. irgen-i hehe juse be gemu sinda seme selgiyehe.,On the twenty-seventh the Field Marshal gathered our troops and ordered that all our troops should free the women and children of the local people that they had taken with them.
427,beise cooha be gaifi y_n nan de isinjiha,The Beise reached Yunnan with his army.
428,ilan biyai ice ilade,On the third of the third month
429,hoton be ak_mbume kara ulan feteme deribuhe.,we started to erect ramparts around the city.
430,bi ineggidari genehe.,I went every day.
431,h_lhai holo jiyangiy_n emke. jai musei afarade meitebuhe bayara. uksin. kutule juwe tangg_ baime jihe.,"One false rebel general and two hundred bayara, armored soldiers, and servants who had been cut off during our second assault came seeking refuge."
432,jiyangiy_n ambasa y_n nan-i babe tabcilaki seme ,The generals and the high officials wanted to storm Yunnanfu
433,ilan inenggi hebe_efi. beise jangtai. dzungdu dzai ioi r'ung. tidu sangge ojorak_ ofi nakaha.,"after holding council for three days, Beise Jangtai, Governor-general Cai Yurong, and Provincial Commander Sangge ruled it out because it could not be done."
434,juwan de beise-i emgi kara ba be dendefi. ulan fetehe.,"On the tenth we divided up the perimeter of the siege with the Beise’s, and dug a moat."
435,orin sunja de h_lhai holo da jiyangiy_n ma boo. ping yuwai fu be tuwa sindafi. ini hehe juse be durifi gamaha,"On the twenty-fifth the false rebel general Ma Bao burned Pingyuanfu, and seized his women and children."
436,g_sin de hoton be kara keremu ulan _anggafi. geli ing gurihe.,"On the thirteenth we completed the construction of fortifications and moats around the city, and moved the encampment again. "
437,irgen-i boo be efulefi. boo aranuha.,"The houses of the civilians had been destroyed, and we built houses."
438,ba dendefi. ing-ni ulan keremu weilehe.,"After dividing up the area, we made moats and ramparts the encampment."
439,duin biyai ice sunjade. poo tai sahaha,On the fifth of the fourth month we erected artillery platforms.
440,ice nadan de bi harkasi nimeme,On the seventh I fell ill with fever.
441,julergi be dailara jiyangiy_n mujan. gui jeo ci emu nirui juwete cooha be gajime y_n nan bade jihe.,The Generalissimo Conqueror of the South Mujan came to Yunnan from Guizhou at the head of a force of two soldiers from each company.
442,sunja biyai ice sunja de. y_n nan-i hoton be kara ulan jursu fetehe.,On the fifth of the fifth month we built a two-layer wall rampart around Yunnanfu.
443,ambarame agafi ing mukede gaibufi.,After a very heavy rain our camp was flushed away by the water
444,tatara ba ak_.,no place to pitch tents. 
445,mini beye nimere ujen.,My illness grew worse.
446,kutule se gemu nimeme ofi. ujen coohai janggin li de dzan mimbe. inu tatan de gamaha bihe.,"Since my servants had also taken ill, the Hanjun Adjutant Li Dezan had me carried to his tent."
447,h_lha ma boo cu hiong fu be gaiha seme donjifi.,We heard that the rebel Ma Bao had occupied the prefectural town of Chuxiong.
448,beise. amba jiyangiy_n acafi hebe_efi.,The Beise and the Field Marshal met to deliberate.
449,bayara emu nirui ilan. aliha cooha emu nirui ilan. gabsihiyan juwe tangg_. ujen cooha juwe tangg_. uheri be hebei amban hife. meiren-i janggin masitai. araha meiren-i janggin herbu. beise meyen-i meiren-i janggin todai. huwase sede afabufi.,"They assigned to Councilor Hife, Lieutenant-general Masitai, Commissioned Lieutenant-general Herbu, and the Lieutenant-generals of Beise’s squadron Todai and Huwase, the command of a force of three bayara guards and three Manchu-Mongol cavalrymen from each company, 200 vanguard soldiers, and 200 Hanjun soldiers."
450,"tidu sangge de niowanggiyan tu cooha emu tumen be afabufi, cu hiong ni baru unggihe","they also assigned to Provincial Commander Sangge the command of 10,000 Green Standard troops, and sent them to Chuxiong."
451,orin ilade y_n nan be kara mei huwa juwang hadahan hadaha.,On the twenty-third we nailed together plum trees to make a stockade around Yunnan city
452,ilan ursu ulan fetehe,erected a three-layer rampart
453,beise ini coohai tuwakiyaha ba labdu seme futalafi. komso ojoro jakade.,"The Beise thought that the places protected by his troops were many, but, after taking measurements, they turned out to be few."
454,yoktak_ ofi. ini niowanggiyan tu cooha sunja minggan. manju cooha duin tangg_ be bi gi guwan-i bade tuwakiyabume unggihe.,"since he was embarrassed, he sent 5,000 of his Green Standard troops, and 400 of his Manchu troops to protect the Biji."
455,amba jiyangiy_n juwan nadan de diyan cy hu-i bilten dalirame babe dendefi.,On the seventeenth the Field Marshal distributed positions along the marshes of the Dianchi Lake. 
456,tere y_n nan-i muke jugun be lashalame keremu ulan weilefi.,He had a continuous line of fortifications built in order to cut in two the waterways to Yunnanfu.
457,niowanggiyan tu de afabufi. beise-i manju cooha be gocika.,"Then he assigned the Green Standard troops, and withdrew the Manchu troops of the Beise."
458,ninggun biyai ice ninggude,On the sixth day of the sixth month
459,tidu sangge. h_lhai jiyangiy_n ma boo be ambarame gidaha seme boolaha.,it was reported that Provincial Commander Sangge had inflicted a crushing defeat on the rebel general Ma Bao.
460,beise-i coohai kutule. niowanggiyan tu se guwali-i de _eng kiyoo de mei huwa juwang hadahan ganame. ,"The servants of the soldiers of the Beise and the Green Standard soldiers went to the Desheng Bridge, on the outskirts, to collect plum-tree stakes."
461,tese boo be efuleme genefi. hoton-i h_lha de ilan tangg_ fungeme meitebuhe.,"When they went to pull down the houses, over 300 of them were cut off by the rebels inside the city."
462,horibuha irgen jeterengge ak_ ofi. guwalici baime duin tangg_ funcere haha hehe juse jifi.,"Because the people besieged had nothing to eat, over 400 men, women, and children came venturing out of the suburbs."
463,amba jiyangiy_n jak_n g_sai feyengge cooha niyalma de. h_da salibume buhe.,"The Field Marshal established their price, and then sold them to the wounded soldiers of the Eight Banners."
464,ineku inenggi keremu dorgi de kaicara jilgan be donjifi.,On the same day a loud noise was heard from inside the ramparts.
465,bi katunjame ilif i tuwaci,With effort I got up to see
466,hulhai karun alin ci wasifi. musei orho ganaha kutule be jafafi gamahabi.,An enemy patrol coming down from the mountain had captured our servants who had gone out to collect grass.
467,juwan ilan de nartai hiya. beging ci isinjifi. dolo nikan morin baimbi seme.,On the thirteenth the imperial guard Nartai came from Beijing saying that the Imperial Stables requested Chinese horses. 
468,beise. jiyanggiyun. ambasa gemu juwete ilata cuwan ma morin buhe.,"The Beise, the generals, and the councilors gave two or three Chuan Ma horses each."
469,dergici. hafan coohai sain be fonjiha.,on behalf of the emperor inquired about the health of officers and soldiers.
470,nartai ilan inenggi y_n nan-i murdeme kaha babe tuwafi genehe.,"After having inspected for three days the locations of the siege around Yunnanfu, Nartai left."
471,g_sai ejen hife se cuhiong ci cooha be gaifi. coohai morin mohoho seme bederere jakade. ,"Lieutenant-general Hife and others, at the head of the troops from Chuxiong, came back on account of the fact that both soldiers and horses were exhausted."
472,beise. amba jiyangiy_n se jili banjifi. hife sei marame gidabuha h_lha ma boo-i cooha be fargarak_ tabcilafi bederehe turgunde. wakalame wesimbumbi seme gisurefi.,"The Beise and the Field Marshal were incensed, and said that they would submit a memorial to the throne indicting Hife and his men, on the ground that, refusing they had not pursued the soldiers of the rebel Ma Bao after these had been defeated, but simply turned back after plundering."
473,amala nakafi. damu numere morin ak_ janggin cooha be teile halafi. amasi cuhiong fude unggihe.,"they later desisted; instead, they merely replaced those officers and soldiers who were ill or had no horses, and sent back to the provincial city of Chuxiong."
474,nadan biyai juwan de mini beye mangga ofi iliha.,"On the tenth day of the seventh month, I felt stronger and could stand up. "
475,h_lha maboo jergi holo jiyangiy_n sunja. dzung bing juwe dahame jihe be. beging de benehe.,"The rebel Mao Bao together with five other false generals and two false regional commanders came to surrender, and were sent to Beijing."
476,juwan emude gui jeo ci bele ciyangliyang be uheri tuwame icihiyara ashan-i da foron jihe.,On the eleventh the Superintendent of Provisions and Sub-Chancellor of the Grand Secretariat Foron arrived from Guizhou.
477,amba jiyangiy_n. mimbe beidere jurgan-i jangin sindaha. jak_n g_sai ufaraha uksin-i oron de. etubure be anaha.,The Field Marshal appointed me to the post of officer in the Board of Punishments to fill the vacancy in place of a dead armored soldier of the Eight Banners.
478,jak_n biyai orin duin de,On the twenty-fourth of the eighth month
479,g_sai ejen gargan. sycuwan-i giyan cang fuci. bayara emu nirui juwete. aliha cooha emu nirui juwete. si an fui meiren-i janggin unggai golo cooha juwe tangg_ be gaifi jime. y_n nan de isinjiha.,"Lieutenant-general Gargan, in command of a force of two bayara guards and one Manchu Cavalryman from each company, together with Brigadier-general Unggai, who was in command of two hundred provincial troops from Xi’an prefectural city, arrived in Yunnan from the prefectural city of Giyan Cang Fu, in Sycuwan"
480,uy_n biyai ice ninggude,On the sixth of the ninth month
481,kutule uksin-i eberi ojorak_ngge be baicame nakabufi,"upon examination, those among the servants and the armored soldiers who were weak and could not proceed further were allowed to stop. "
482,nimekulehe edelehe hafan cooha be baicafi,The officers and soldiers who were ill or disabled were also examined
483,ufaraha janggin coohai giran be. gala de emte janggin. g_sa de sunja uksin be tucibufi. ging hecen-i baru jurambuha.,"All the corpses of dead officers and soldiers were removed by one officer from each wing and five armored soldiers from each banner, then were sent to the capital."
484,ice uy_n de g_sai ejen jihari ufarafi.,On the ninth Lieutenant-general Jihari died.
485,baturu bodohonggo jiyangiy_n joo liyang dung se sycuwan-i goloi sui i fuci emu nirui ilata cooha. niowanggiyan tu juwe tumen be gaifi jime. y_n nan de isinjiha.,"Heroic Strategist General Zhao Liangdong and others, with a force of three soldiers from each company and 20,000 Green Standard troops, arrived in Yunnan from the prefectural city of Sui yi, in Sichuan."
486,tuwaci cira boco wasifi. yafahan niyalma labdu.,"Looking at them, their faces showed an emaciated complexion, and many soldiers were on foot. "
487,fonjici jeterengge ak_ bime. ehe sukdun de goifi. niyalma morin ambula bucehe nimehe sembi.,"Asked about their condition, they replied that they had had nothing to eat, had been struck by foul vapors, and people and horses had become ill and died in great numbers."
488,juwan de amba jiyangiy_n tuhai mansi ci beging de bederehe. kemungge cin wang-ni guwangsi ci beging de bederehe be donjiha.,"On the tenth we heard that Field Marshal Tuhai126 had returned to Beijing from Shaanxi, and the Frugal Prince of the Blood had also gone back to Beijing from Guangxi."
489,y_n nan-i hoton-i dorgi h_lha emu juwe-i dahame jiderengge lakcan ak_,Rebels from inside Yunan city continuously came to surrender in ones or twos.
490,fonjici hoton-i dorgi yuyume niyalma-i yali jembi sembi.,"When they were interrogated, they said that inside the city were starving and eating human flesh."
491,gemu musei coohai urse sain haha juse be sonjome gidame. amba haha be amba jiyangiy_n de benembi.,"Everybody in our army chose the best male children as booty, and sent the adult males to the Field Marshal."
492,bele lakcafi. emu hule udarade orin yan bumbi.,"As rice was becoming scarce, one needed 20 ounces of silver to buy a bushel of rice."
493,irgen ambula yuyume bucehe.,Many people starved to death.
494,juwan emu de jalan-i janggin fafuri be k_waran-i da sindara jakade. mimbe amba jiyangiy_n tuwafi. jalan-i janggin sindaha.,"On the eleventh, because colonel Fafuri had been appointed as camp commander, the Field Marshal considered me, and appointed me colonel."
495,g_wa hab_aci donjiha ak_.,"If others have filed a complaint, I am not aware of it."
496,juwan biyai juwan de ibefi,On the tenth of the tenth month we advanced.
497,muse hoton ci sunja ba-i huwang tu po-i emu girin-i alirame. ulan fetefi keremu sahame,"we dug moats and built ramparts along the mountainside of Huangtupo, 5 li from the city"
498,bi inenggidari genehe,I went every day
499,ulan keremu _anggafi kubuhe fulgiyan. kubuhe lamun-i ing gurifi tuwakiyaha.,"Once the fortifications were completed, we moved the encampments of the Bordered Red and Bordered Blue Banners, and guarded them. "
500,h_lhai sindaha poo ing de tuhebi dababi ,The rebels’ artillery rounds were either hitting the camp or falling beyond it.
501,niyalma gemu dalda de boo araha,The people all built their houses in concealed spots.
502,bi emhun meni meni giyan bi seme _ehun bai den bade boo araha.,"With everyone having one’s own idea, only I built my dwelling on a high spot in a barren area."
503,juwan uy_n de hebei amban g_sai ejen gargan. maci. lebei. tui janggin ehene. meiren-i janggin hungsilu se hontoho cooha be gaifi. hoton ci ilan bai in ding san alin de ibembi seme selgiyehe.,"On the nineteenth it was ordered that Councilors and Lieutenant-generals Gargan, Maci, and Lebei, Major-general of the Guards Ehene, and Lieutenant-general Hong Shilu at the head of half the army should advance to the Yinding Mountain three miles from the city."
504,mini beye. janggin _u_u. sindai. gelibu. funde bo_ok_ laisu. margi. solho. tangg_ cooha be gaifi. yamji ibehe.,"I myself, at the head of Captains Mumu, Sindai, and Gelibu, Lieutenants Laisu, Margi, and Solho, and 100 soldiers, advanced during the evening. "
505,dobori ulan feterede. bi solho. margi. kelibu be gaifi. moro ilibufi ulan feteme. ,"As we were digging a moat at night, I took along Solho, Margi, and Gelibu to dig after having lifted baskets"
506,niyalma tome bucetei hacihiyambi.,every man was crushed to death.
507,hoton-i h_lha poo miyoocan geretele _orgime sindame.,The rebels inside the city fired the muskets and cannons until dawn. 
508,muhaliyan juleri amala emdubei tuhebi.,Projectiles were falling ceaselessly in front and behind.
509,musei niyalma. morin poo miyoocan de ambula kokiraha.,Many of my men and horses were injured by the shots.
510,jai inenggi ulan keremu uthai _anggaha.,The next day moats and ramparts had been fully completed.
511,orin emude niowanggiyan tu-i cooha. ujen coohai janggin. cooha be h_nggi ibebume.,"On the twenty-first, Green Standard troops and Hanjun officers and soldiers were ordered to move to the front."
512,musei cooha fiyamjilafi. dobori teni gocika.,"Our soldiers served in the rear, and were withdrawn only at night."
513,kubuhe lamun be yen ding san de baita bici. uthai dame gene seme selgiyehe.,"Then it was ordered that, since there were problems on the Yinding Mountain, the Bordered Blue Banner should immediately go there to help."
514,orin uy_n de h_lhai holo jiyangiy_n siyan ioi. ho jin jung. u guwe ju. huwang ming. lin tiyan king se hoton be alibume dahafi.,"On the twenty-ninth the false rebel general Xian Yu, He Jinzhong, Wu Guozhu, Huang Ming, and Lin Tianqing surrendered offering the city."
515,holo lio meo jiyangiy_n g’u juwang tu. holo wang u _i fan-i uju be alibume jihe.,presented the heads of the false General-regent Gu Zhuangtu and of the false prince Wu Shifan.
516,dobori uthai y_n nan-i hoton-i duka tome meiren-i janggin emte. tui janggin. k_waran-i da emte. g_sa tome jalan-i janggin emte. cooha duin tangg_ tucibufi uksilefi tuwakiyabuha,"At night, one brigadier-general, one Major-general, one camp commander, and one colonel and 400 soldiers from each banner were sent to each of the gates of Yunnan city, and were put on guard duty in full armor."
517,cooha kutule se holtome hoton de dosifi ,Soldiers and civilians stealthily entered the city
518,yuyuhe hehe juse be h_lhame ambula tucibuhe.,stole and brought out a great number of starving women and children.
519,geli bele h_lhame dosimbufi. suje etuku-i jergi jaka be ambula h_la_anuha.,"They also stole rice and brought it into the city, to exchange it for a great quantity of silk, clothes, and other things."
520,o__on biyai ice juwede,On the second day of the eleventh month
521,u _i fan-i gung-ni hehesi. niocuhe tana. boobai jergi jaka. ulin nadan. h_lhai jiyangiy_n-i hehe juse ulin nadan be icihiyame. ,"in order to take care of the women, pearls, jewels, and other possessions from the palace of Wu Shifan, and of the wives, children, and valuables of the rebel generals"
522,g_sai ejen jergi mujan. maci. araha coohai jurgan-i galai da kiyata. betei. husibu. jiyehan. lanju. fafuri se tuwame talame.,"Lieutenant-generals Mujan and Maci, and commissioned Brigadiers of the Board of War Kiyata, Beitei, Husibu, Jiyehan, Lanja, Fafuri, and others made an inventory"
523,boo se de gemu bayara janggisa be tuwakiyabuha,ordered the officers of the Guards regiment to guard all the residencies.
524,juwan emu de,On the eleventh
525,jukun g_sai hafan cooha de gebu arame. ehe sain sakda hehe buhe,"old women, whether in poor or good condition, signed their name and were handed over to the Eight Banners’ officers and soldiers."
526,geli buyarame suje etuku-i jergi jaka buhe,"Miscellaneous silks, clothes, and other things were also awarded."
527,orin de suje buhe,On the twentieth silk was bestowed.
528,icihiyaha amban. jurgan-i janggisa ferguwecuke ulin. sain hehe bahanuha.,The high officials and the ministerial functionaries in charge managed to obtain wonderful riches and good women.
529,orin duin de narh_n jaka be icihiyame wajifi,By the twenty-fourth they had finished distributing even the smallest things.
530,meiren-i janggisa be gocifi.,The brigadier-generals were withdrawn.
531,cooha halaburede. bi janggin ilmen be halafi. hoton-i tulergi fiyamji seme. juwan inenggi bihe,"As troops were being re-assigned, I exchanged place with captain Ilmen, was assigned to rearguard outside the city and spent ten days there. "
532,duka be bayara janggin lobi tuwakiyaha,The bayara guard Lobi was on guard duty at one gate.
533,poo-i okto emu hunio fushufi,a bucket of gunpowder exploded.
534,hoton-i dergi ilan giyan-i boo. juce-i niyalma juwan baran ak_ deyehe.,Three houses of the eastern part of the city and ten people at a guard post went up in the air and vanished completely.
535,coohai urse. kutule se. dahaha liyoo dung-ni nikan-i anggasi hehe. sargan juse be holtome sargan gaimbi seme gainufi.,Common soldiers and servants managed to get the widows and daughters of Chinese people from Liaodong who had surrendered by deceitfully telling them that they were going to marry them
536,tese hoton ci ambula tucibuhe.,they took many out of the city.
537,jorgon biyai juwan nadan de,On the seventeenth of the twelfth month
538,jurgan ci unggihe bithede. hiya. jurgan-i hafasa. baitangga be neneme unggi. aniya goidaha cooha be gocire be dahame. dahaha liyoo dung-ni nikasa be sasa gajikini sehebi.,"a dispatch arrived from the ministry that said: “Send back with priority the imperial bodyguards, officials from the Ministry and clerks. Then withdraw the soldiers who have served for a year together with the Chinese people from Liaodong who have surrendered.”"
539,orin de hiyasa. jurgan-i hafasa. aniya goidaha cooha juwe tangg_ tucibufi.,"On the twentieth the imperial bodyguards, ministry officials, and 200 soldiers who had served for a year were brought out."
540,giran be afabufi. beging- ni baru jurambuha,the corpses were handed and were sent back to Beijing
541,jiyangiy_n sa hebe acafi.,The generals met in council.
542,liyoodung-ni nikan-i anggala sunja tumen funcembi. gamara de mangga seme,"The Chinese people from Liaodong were over 50,000, and it was difficult to look after them"
543,cooha be jak_n meyen banjibuha,the troops were organized into eight squadrons.
544,bi gisurefi. uju meyen oho,Upon my request I was assigned to the first squadron.
545,aniyai biyai juwan de jurambumbi seme selgiyefi.,It was announced that [the army] would set out on the tenth of the first month.
546,dahaha h_lhai hafasa geneme muterak_ seme hab_ara jakade nakaha.,"However, since the rebel officials who had surrendered could not go, they filed a complaint, and was revoked."
547,elhe taifin-i sahaliyan indah_n orin emuci aniya. aniyai ice inenggi,"On New Year’s Day of the twenty-first year of Kangxi, year of the Black Dog"
548,aniyai doro. jiyangiy_n ambasa hafasa. lung teo _an de ifasi hengkilehe.,"generals, dignitaries, and officers gathered at Longtou Mountain, and performed the rites."
549,ice nadan de jurgan ci unggihe bithe de. dahaha h_lha de anggala bele. fu ume bure. uthai coohai sasa gajime jio sehebi.,"On the seventh a dispatch from the Ministry arrived, which said: “Do not give the common people’s rice and wheat to the surrendered rebels, but bring them back at once together with the army.”"
550,h_lhai holo jiyangiy_n siyan ioi se. niocuhe. tana. aisin menggun. seke. cindahan. silun. _anggiyan ulhu-i dah_ kurume. sain morin. loho. jebele-i jergi jaka ambula sime benjifi baire jakade.,"The false rebel general Xian Yu and others had already given away in bribes pearls, gold, silver, various fur coats of sable, snow rabbit, lynx, and white ermine, fine horses, swords, quivers, and many other goods, were reduced to begging"
551,"jiyangiy_n sa hebe_efi, dahaha h_lhai anggala de fu bele burak_ oci.coohai sasa geneci ojorak_. siyun fu de afabufi. amala isibukini seme wesimbuhe.","The generals and others met in council, and submitted a memorial that said: “Since we are not providing rice and wheat to the people of the surrendered rebels, these cannot go together with the army. They will be entrusted to the provincial governor and allowed to reach us later.” "
552,y_n nan-i dorgi dahaha h_lha juwan tumen anggala ofi. bele wajifi. bele emu hule de nadanju yan. turi emu hiyase de ninggun yan. handu emu hule de g_sin jak_n yan menggun bufi udambi.,"Because the surrendered rebels inside Yunnanfu numbered 100,000 people, the rice had been used up, and the price for a bushel of rice went up to 70 ounces of silver, for one peck of beans to 6 ounces, and for 1 bushel of unhusked rice to 38 ounces."
553,ihan emke de g_sin yan. ulgiyan emke de orin udu yan. coko niyehe jak_n uy_n jiha de emke. niongniyaha juwe yan de emke uncame.,"A cow cost 30 ounces of silver, a pig 29 ounces, a chicken or a duck 8 or 9 coppers, and a goose 2 ounces each."
554,yaya jaka gemu h_da wesifi. cooha umesi mohofi.,The price of everything went up and the soldiers were reduced to extreme poverty.
555,inenggi durime. dobori h_lharangge der seme dekdefi.,Daytime plunder and nighttime crime increased greatly
556,h_da-i niyalma ambula wabuha.,many merchants were killed.
557,amba jiyangiy_n g’o_i bithe arafi,The Field Marshal wrote an official proclaim
558,bi niyalma tucibufi durire h_lhara be jafabumbi.,"I shall send out people, they will to arrest those who plunder and steal"
559,nambuci fafan-i gamambi,will deal with those arrested in accordance with the law
560,kadalaha hafasa be ujeleme weile arambi,will impose heavy punishments on the officers in charge
561,meni meni uksin kutule be inenggidari baica,will investigate every day each and every soldier and servant.
562,jing fancuh_n ofi. juwan duin de g_sa tome jalan-i janggin emte. sula janggin emte. cooha tofohon be adun de unggi seme selgiyehe.,"Because of the continuing violence, on the fourteenth it was ordered to send a colonel, one officer of the princely bodyguards, and fifteen soldiers from each Banner to the herd."
563,tofohon de hebe acahade,On the fifteenth there was a council meeting.
564,ashan-i da foron jeku ciyanliyang hafirah_n seme gisurefi.,Sub-Chancellor of the Great Secretariat Foron said that food and revenues were scarce.
565,juwan ninggude beise uju meyen-i cooha be gaifi kioi jing fude genembi seme selgiyefi.,"On the sixteenth it was then announced that the Beise, at the head of the troops of the first squadron, would leave for the prefectural city of Qujing."
